Year,Number of Mobile Subscribers,Number of People having a National Identity Card,Number of Internet Users,Number of ATMs,Number of PoS Terminals,No. of Banks live on UPI,Number of Debit Cards,Number of Credit Cards,Number of PPIs,Total Digital Payments Volume (lakhs),PPI Volume (lakhs),RTGS Volume (lakhs),IMPS Volume (lakhs),NACH Volume (lakhs),NEFT Volume (lakhs),UPI Volume (lakhs),Credit Card Volume (lakhs),Debit Card Volume (lakhs),Mobile Payments Volume (lakhs)
Feb-2025,,1416353130.00,,216836.00,10717514.00,653.00,985676745.00,109315356.00,1361438000.00,190952.14,6398.44,244.20,4048.29,1533.06,7647.93,161061.93,3969.59,1082.50,150031.46
Jan-2025,,1413167039.00,,216706.00,10352730.00,647.00,982039277.00,108873184.00,1346321000.00,200754.53,6547.10,268.15,4442.23,1304.72,8567.93,169960.01,4305.72,1216.69,158794.78
Dec-2024,1150660000.00,1411647297.00,944960000.00,214398.00,10000549.00,641.00,990948054.00,108055905.00,1328565000.00,197940.75,6377.99,262.29,4411.64,1315.94,8307.02,167300.09,4328.50,1280.10,156762.66
Nov-2024,1148650000.00,1409872926.00,944760000.00,215387.00,9690872.00,637.00,979571767.00,107239710.00,1562408000.00,183512.36,5847.81,240.29,4079.18,1438.33,7769.51,154820.21,3936.04,1234.98,144939.48
Oct-2024,1150420000.00,1409530777.00,941470000.00,216208.00,9509265.00,632.00,980910678.00,106889655.00,1550327000.00,199078.71,5977.88,267.92,4668.23,1463.68,9183.38,165849.66,4332.14,1441.87,156523.15
Sep-2024,1153720000.00,1408886024.00,944400000.00,215767.00,9342792.00,622.00,973281885.00,106103318.00,1533988000.00,179416.96,5476.69,233.33,4299.36,1657.93,7908.83,150417.47,3921.62,1353.64,143577.22
Aug-2024,1163830000.00,1406593783.00,949210000.00,215421.00,9300689.00,608.00,968549216.00,105424368.00,1518214000.00,179267.83,5466.90,237.53,4533.37,1534.87,7983.23,149630.47,3900.68,1422.45,144031.16
Jul-2024,1169610000.00,1403519797.00,946190000.00,216352.00,8971653.00,605.00,963202289.00,104568437.00,1521155000.00,173615.87,5356.71,246.68,4902.84,1479.29,8006.14,144355.54,3837.80,1456.56,139896.66
Jun-2024,1170530000.00,1401462069.00,940750000.00,216914.00,8966994.00,602.00,962423990.00,103813018.00,1505130000.00,167736.10,5236.08,231.84,5167.51,1311.11,7307.34,138851.42,3579.49,1423.94,133652.25
May-2024,1168950000.00,1400006612.00,935130000.00,217332.00,8804112.00,598.00,956598286.00,103300377.00,1482977000.00,169323.14,5496.00,249.71,5576.99,1074.61,7467.75,140358.43,3601.36,1503.82,134522.56
Apr-2024,1166960000.00,1398000937.00,928410000.00,218419.00,8838746.00,583.00,950944926.00,102539752.00,1471682000.00,161211.88,5288.79,235.59,5503.65,964.06,7040.03,133039.94,3441.51,1518.61,128494.90
Mar-2024,1165490000.00,1379591283.00,924070000.00,218815.00,8902926.00,572.00,964919399.00,101802736.00,1674363000.00,165747.54,5804.85,278.47,5806.36,1808.71,7939.10,134400.04,3439.38,1594.75,128625.58
Feb-2024,1164640000.00,1379368020.00,916770000.00,219227.00,8773202.00,560.00,960670824.00,100600166.00,1711856000.00,150688.49,6470.84,238.26,5346.35,1504.81,6889.23,121026.73,3112.44,1522.47,117275.04
Jan-2024,1160710000.00,1379113505.00,911030000.00,219628.00,8593226.00,550.00,957565545.00,99500257.00,1767626000.00,150891.97,7087.25,230.99,5087.92,948.05,6882.78,122030.18,3289.52,1644.68,117854.93
Dec-2023,1158490000.00,1378600000.00,904540000.00,219882.00,8567404.00,522.00,960880694.00,97904611.00,1754434000.00,148762.40,7235.20,230.39,4987.93,1310.99,6673.90,120202.26,3215.00,1768.16,116329.75
Nov-2023,1154170000.00,1377783942.00,896610000.00,219946.00,8432188.00,516.00,976569441.00,96001382.00,1694431000.00,141072.41,6510.09,219.20,4723.84,1380.65,6394.00,112352.92,2970.90,1771.66,108174.95
Oct-2023,1150980000.00,1376024809.00,888270000.00,219740.00,8348085.00,505.00,980170746.00,94710817.00,1683087000.00,141873.15,6687.84,224.62,4928.80,1278.99,6314.50,114087.90,3200.48,1904.23,109334.05
Sep-2023,1150150000.00,1374427481.00,885000000.00,219281.00,8303183.00,492.00,978286201.00,93017482.00,1671809000.00,131666.27,6143.16,213.94,4728.97,1512.78,5598.10,105556.87,2739.43,1839.34,101214.61
Aug-2023,1148430000.00,1372469567.00,876530000.00,219031.00,8246614.00,484.00,978056921.00,91278257.00,1662574000.00,132913.16,6366.80,218.08,4891.65,1627.49,5651.90,105860.16,2905.78,2076.18,101423.21
Jul-2023,1146250000.00,1370636597.00,868200000.00,217985.00,8122659.00,473.00,970740526.00,89873251.00,1664689000.00,127139.83,6393.08,211.89,4897.10,1322.80,5476.80,99642.56,2770.81,2101.31,93340.31
Jun-2023,1143580000.00,1369041773.00,861470000.00,219540.00,8093909.00,458.00,975833131.00,88682356.00,1653036000.00,119160.91,6464.03,212.30,4681.02,1294.91,5097.10,93350.61,2629.05,2102.24,88097.74
May-2023,1143210000.00,1367544997.00,856810000.00,219534.00,7960626.00,445.00,973926235.00,87747311.00,1645595000.00,120656.20,6872.86,220.46,5015.49,1227.66,4896.70,94151.85,2734.74,2239.77,87100.70
Apr-2023,1143130000.00,1362700000.00,850940000.00,219440.00,7837235.00,414.00,967011806.00,86512698.00,1638776000.00,113293.95,6313.42,201.57,4957.93,1009.42,4825.40,88632.60,2592.55,2295.38,83357.17
Mar-2023,1143930000.00,1362600000.00,846570000.00,219506.00,7789512.00,399.00,961258764.00,85303238.00,1618526000.00,113745.28,6225.98,248.01,4970.56,1962.73,5469.10,86516.34,2634.29,2382.50,81648.69
Feb-2023,1141960000.00,1360700000.00,839330000.00,217913.00,7758264.00,390.00,954121549.00,83365756.00,1610965000.00,100738.77,6050.89,200.50,4478.13,1517.57,4675.60,75347.57,2323.20,2265.31,72542.86
Jan-2023,1143020000.00,1358100000.00,839180000.00,219628.00,8593226.00,385.00,957565430.00,82452029.00,1602929000.00,105193.62,6129.40,204.18,4745.08,1354.13,4798.30,80385.88,2593.52,2510.09,75947.75
Dec-2022,1142930000.00,1351701506.00,832200000.00,217092.00,7550065.00,382.00,939465892.00,81186874.00,1623469000.00,103826.92,6354.65,215.03,4858.37,1515.84,4854.80,78288.95,2556.47,2667.10,74415.83
Nov-2022,1143040000.00,1351701462.00,825380000.00,216981.00,7351681.00,376.00,947728880.00,80606319.00,1609832000.00,97111.86,6075.20,206.46,4634.80,1373.88,4388.30,73094.47,2347.73,2608.28,70188.36
Oct-2022,1143630000.00,1350062592.00,821490000.00,216981.00,7211092.00,365.00,944231664.00,79367754.00,1596837000.00,98920.42,6167.35,190.34,4824.59,1454.99,4570.50,73054.21,2554.02,2962.38,70328.74
Sep-2022,1145450000.00,1346977619.00,816240000.00,217308.00,7035017.00,358.00,935025959.00,77701744.00,1584295260.00,92421.24,6048.61,198.30,4622.31,1630.85,4332.50,67808.00,2453.06,2899.38,65660.55
Aug-2022,1149110000.00,1343596159.00,813940000.00,217187.00,7057534.00,346.00,927477476.00,77991469.00,1566177100.00,90852.16,6177.69,188.08,4669.09,1940.04,4166.80,65819.06,2447.83,3033.47,65313.24
Jul-2022,1148030000.00,1339779471.00,807420000.00,217857.00,6819488.00,338.00,921751625.00,80255722.00,1560453400.00,87758.02,6195.34,189.26,4608.30,1892.88,4018.40,62893.40,2348.34,3133.47,61437.98
Jun-2022,1147390000.00,1335151757.00,800940000.00,217688.00,6590890.00,330.00,923333150.00,78722617.00,1558989230.00,82969.11,6258.03,194.42,4557.01,1489.99,4022.30,58629.08,2279.46,3089.99,55965.36
May-2022,1145500000.00,1332527709.00,794680000.00,217853.00,6169175.00,323.00,920517551.00,76876980.00,2798908210.00,85783.33,6529.11,195.72,4848.13,1794.53,3813.30,59462.89,2378.03,3315.65,57896.19
Apr-2022,1142660000.00,1330510352.00,788770000.00,217623.00,6126144.00,316.00,917665707.00,75166069.00,2771112330.00,80060.94,6455.19,195.32,4716.26,1329.76,3737.60,55843.88,2229.30,3311.87,53992.68
Mar-2022,1142090000.00,1327955145.00,788300000.00,215061.00,6070142.00,314.00,935065914.00,73627330.00,1555368890.00,79867.19,6469.96,230.04,4920.01,1825.88,4314.20,54056.51,2237.51,3275.19,57121.32
Feb-2022,1141530000.00,1324965603.00,783370000.00,214476.00,5833870.00,304.00,940928583.00,71707614.00,2731480630.00,66966.73,5551.16,180.29,4209.31,1536.56,3632.60,45274.89,1884.24,2956.23,48292.44
Jan-2022,1145240000.00,1321861129.00,783430000.00,213792.00,5619986.00,297.00,937741694.00,70252069.00,2689901150.00,69566.32,5807.67,181.29,4401.73,2053.15,3629.00,46171.56,1958.05,3193.00,49905.88
Dec-2021,1154620000.00,1318959191.00,792080000.00,213037.00,5498311.00,282.00,934007000.00,68948699.00,2642889170.00,70299.95,7008.04,192.78,4429.86,1483.71,3763.40,45662.99,2112.59,3499.21,49877.80
Nov-2021,1167500000.00,1315700000.00,801600000.00,212718.00,5292489.00,274.00,932834000.00,67583000.00,2592284270.00,64617.37,6107.05,172.14,4120.29,1382.00,3394.00,41864.80,2011.16,3407.02,45548.53
Oct-2021,1166300000.00,1312700000.00,798950000.00,212997.00,5155025.00,261.00,919384000.00,66360808.00,2531246500.00,66222.66,6130.90,184.11,4306.71,1660.26,3574.50,42184.32,2155.81,3852.95,45884.20
Sep-2021,1166020000.00,1307900000.00,794880000.00,213145.00,4976716.00,259.00,913263000.00,65025075.00,1397908350.00,57512.75,5292.53,174.57,3848.84,1171.57,3359.50,36558.17,1847.21,3490.29,39989.49
Aug-2021,1186720000.00,1304600000.00,813470000.00,213570.00,4816066.00,249.00,905629000.00,63934371.00,1368291530.00,57298.40,5259.90,166.52,3797.12,2075.99,3218.70,35555.45,1904.71,3588.29,39029.40
Jul-2021,1186840000.00,1298900000.00,808600000.00,213433.00,4607703.00,235.00,905631000.00,63414463.00,1317683950.00,52711.53,4958.99,167.65,3524.64,1174.68,3170.00,32455.02,1820.49,3405.37,36837.05
Jun-2021,1180830000.00,1296200000.00,792780000.00,213766.00,4593265.00,229.00,901971000.00,62815482.00,2294796060.00,46899.91,4585.92,154.14,3038.45,1498.12,2923.30,28075.16,1547.01,2946.74,32127.11
May-2021,1176840000.00,1293200000.00,780270000.00,214654.00,4520278.00,224.00,900500000.00,62393434.00,2260928740.00,42675.96,3848.67,123.34,2798.61,1866.34,2565.40,25291.82,1344.73,2556.60,29734.31
Apr-2021,1183110000.00,1292000000.00,782860000.00,214459.00,4524724.00,220.00,898201796.00,62260420.00,2221696570.00,45129.53,4761.96,151.52,3229.68,1029.55,2862.70,26410.61,1575.32,3213.23,32494.77
Mar-2021,1180960000.00,1289600000.00,778090000.00,213575.00,4720077.00,216.00,894001925.00,62049087.00,2165568020.00,49254.60,5154.57,202.35,3631.44,1648.84,3481.40,27316.85,1887.27,3763.05,33082.40
Feb-2021,1167710000.00,1285300000.00,765090000.00,209840.00,4714916.00,213.00,888065000.00,61647183.00,2155623370.00,41205.73,4519.77,157.70,3189.73,830.89,2821.10,22928.94,1613.77,3445.46,24372.08
Jan-2021,1159420000.00,1280700000.00,757610000.00,209344.00,4654521.00,207.00,885660000.00,61098000.00,2121215710.00,42623.40,4386.66,156.68,3465.52,1115.13,2874.90,23027.28,1744.20,3699.54,27644.30
Dec-2020,1153770000.00,1275400000.00,747410000.00,208480.00,5784631.00,207.00,892702010.00,60397000.00,2081905810.00,42662.25,4337.56,163.48,3556.93,1741.20,3076.20,22341.58,1737.79,3765.09,25296.64
Nov-2020,1155200000.00,1270800000.00,742060000.00,209282.00,4576740.00,200.00,874165072.00,60113014.00,2044315130.00,40974.58,4194.10,137.80,3391.14,1114.39,2734.10,22102.28,1662.58,3765.75,24288.77
Oct-2020,1151810000.00,1267200000.00,734820000.00,209881.00,4581333.00,189.00,865435000.00,59419834.00,2014354170.00,39946.90,4591.52,138.22,3189.72,1015.89,2761.70,20716.19,1718.03,3932.66,22801.51
Sep-2020,1148580000.00,1264300000.00,726320000.00,210049.00,4423465.00,174.00,855372729.00,58694212.00,1996047400.00,36183.72,4625.96,130.11,2796.08,1179.89,2468.30,18001.67,1486.71,3507.81,20994.76
Aug-2020,1147920000.00,1261700000.00,716190000.00,209110.00,4355180.00,168.00,852355001.00,57830597.00,2013406110.00,34660.18,4903.41,116.77,2461.25,1775.28,2346.10,16188.28,1425.11,3389.42,19962.77
Jul-2020,1144180000.00,1260000000.00,705400000.00,209989.00,4357123.00,164.00,845414384.00,57632047.00,1927262940.00,31281.92,3987.42,124.76,2220.99,1053.63,2401.00,14973.54,1319.66,3161.93,17345.05
Jun-2020,1140710000.00,1258400000.00,698230000.00,210478.00,4325830.00,155.00,835349120.00,57289033.00,1900806680.00,29095.98,3546.66,119.68,1989.12,1337.29,2274.00,13369.31,1248.55,3002.34,16246.12
May-2020,1143910000.00,1257700000.00,683770000.00,210415.00,4322169.00,155.00,829446698.00,57179899.00,1879414750.00,25574.53,3032.04,90.04,1666.80,995.63,1929.40,12344.97,1028.86,2658.82,14680.20
Apr-2020,1149520000.00,1257400000.00,676140000.00,210195.00,4391929.00,153.00,828561639.00,57360145.00,1834276390.00,23604.69,2086.01,54.35,1224.75,2657.38,1759.80,9995.74,768.53,2053.66,11319.10
Mar-2020,1157750000.00,1257400000.00,687440000.00,210760.00,4434514.00,148.00,823022953.00,57745105.00,1825163670.00,29266.86,3982.85,118.95,2168.23,1134.79,2623.70,12468.45,1638.57,3608.13,13830.33
Feb-2020,1160590000.00,1255400000.00,681110000.00,210841.00,4370702.00,146.00,816410000.00,57158090.00,1810364950.00,32895.25,5685.17,133.15,2477.98,753.52,2483.60,13256.93,1882.94,4245.74,14284.28
